target,c_fraction,R,exact_max,exact_argmax_x,est_argmax_x,argmax_matches,exact_value_at_est_argmax,criterion_efficiency,mean_bias,max_abs_error,bias_over_exact_max,frac_negative,min_estimate,corr_with_exact,density_integral
sigma,0.1,100,0.01705,44.0,16.0,False,0.01705,1.0,-0.00472,0.00547,-0.27702,0.365,-0.00444,0.99644,1.00651
mu,0.1,100,0.34196,29.92965,29.92965,True,0.34196,1.0,-0.00163,0.00733,-0.00477,0.0,0.03824,0.99928,0.9919
