Phase 2 coverage map: 9 cells x 150 replicates, n=30
  [cov] 1/54 chunks  121.4s (eta 6431.6s)
  [cov] 2/54 chunks  124.0s (eta 3223.6s)
  [cov] 3/54 chunks  228.7s (eta 3888.4s)
  [cov] 4/54 chunks  238.1s (eta 2976.6s)
  [cov] 5/54 chunks  350.7s (eta 3436.5s)
  [cov] 6/54 chunks  357.9s (eta 2863.5s)
  [cov] 7/54 chunks  417.7s (eta 2804.5s)
  [cov] 8/54 chunks  442.4s (eta 2543.7s)
  [cov] 9/54 chunks  488.9s (eta 2444.6s)
  [cov] 10/54 chunks  512.8s (eta 2256.3s)
  [cov] 11/54 chunks  554.5s (eta 2167.5s)
  [cov] 12/54 chunks  592.9s (eta 2075.1s)
  [cov] 13/54 chunks  605.3s (eta 1908.9s)
  [cov] 14/54 chunks  644.0s (eta 1839.9s)
  [cov] 15/54 chunks  655.6s (eta 1704.5s)
  [cov] 16/54 chunks  698.8s (eta 1659.6s)
  [cov] 17/54 chunks  698.8s (eta 1520.9s)
  [cov] 18/54 chunks  797.9s (eta 1595.8s)
  [cov] 19/54 chunks  945.9s (eta 1742.4s)
  [cov] 20/54 chunks 1045.0s (eta 1776.5s)
  [cov] 21/54 chunks 1178.6s (eta 1852.1s)
  [cov] 22/54 chunks 1223.9s (eta 1780.2s)
  [cov] 23/54 chunks 1299.3s (eta 1751.3s)
  [cov] 24/54 chunks 1339.4s (eta 1674.2s)
  [cov] 25/54 chunks 1358.7s (eta 1576.1s)
  [cov] 26/54 chunks 1402.4s (eta 1510.2s)
  [cov] 27/54 chunks 1428.2s (eta 1428.2s)
  [cov] 28/54 chunks 1461.3s (eta 1356.9s)
  [cov] 29/54 chunks 1501.3s (eta 1294.2s)
  [cov] 30/54 chunks 1533.8s (eta 1227.1s)
  [cov] 31/54 chunks 1554.5s (eta 1153.4s)
  [cov] 32/54 chunks 1584.2s (eta 1089.1s)
  [cov] 33/54 chunks 1608.2s (eta 1023.4s)
  [cov] 34/54 chunks 1635.3s (eta  962.0s)
  [cov] 35/54 chunks 1655.1s (eta  898.5s)
  [cov] 36/54 chunks 1689.5s (eta  844.8s)
  [cov] 37/54 chunks 1781.4s (eta  818.5s)
  [cov] 38/54 chunks 1825.0s (eta  768.4s)
  [cov] 39/54 chunks 1920.3s (eta  738.6s)
  [cov] 40/54 chunks 1947.1s (eta  681.5s)
  [cov] 41/54 chunks 2032.0s (eta  644.3s)
  [cov] 42/54 chunks 2058.0s (eta  588.0s)
  [cov] 43/54 chunks 2092.8s (eta  535.4s)
  [cov] 44/54 chunks 2147.4s (eta  488.0s)
  [cov] 45/54 chunks 2159.8s (eta  432.0s)
  [cov] 46/54 chunks 2208.8s (eta  384.1s)
  [cov] 47/54 chunks 2228.5s (eta  331.9s)
  [cov] 48/54 chunks 2279.5s (eta  284.9s)
  [cov] 49/54 chunks 2286.6s (eta  233.3s)
  [cov] 50/54 chunks 2326.6s (eta  186.1s)
  [cov] 51/54 chunks 2335.7s (eta  137.4s)
  [cov] 52/54 chunks 2378.5s (eta   91.5s)
  [cov] 53/54 chunks 2385.6s (eta   45.0s)
  [cov] 54/54 chunks 2433.9s (eta    0.0s)

 mu_true  sigma_true target  backend   n  coverage  coverage_se  z_vs_nominal  mean_width  median_width      bias     rmse  frac_no_overlap  frac_all_equal    mean_ess
    26.0         1.5   q0.5 particle 150  0.960000     0.016000      0.625000    2.077508      2.049698  0.000883 0.512144         0.000000             0.0 5899.481040
    26.0         1.5   q0.5      ref 150  0.960000     0.016000      0.625000         NaN           NaN  0.000883 0.512144         0.000000             0.0 5899.481040
    26.0         1.5  q0.95 particle 150  0.920000     0.022151     -1.354341    4.346562      4.283144  0.093451 0.895272         0.000000             0.0 5899.481040
    26.0         1.5  q0.95      ref 150  0.933333     0.020367     -0.818317         NaN           NaN  0.093451 0.895272         0.000000             0.0 5899.481040
    26.0         1.5  q0.99 particle 150  0.926667     0.021285     -1.096251    5.774137      5.739570  0.125745 1.154691         0.000000             0.0 5899.481040
    26.0         1.5  q0.99      ref 150  0.940000     0.019391     -0.515711         NaN           NaN  0.125745 1.154691         0.000000             0.0 5899.481040
    26.0         3.0   q0.5 particle 150  0.973333     0.013154      1.773811    3.674740      3.545311  0.004100 0.783638         0.000000             0.0 6854.009518
    26.0         3.0   q0.5      ref 150  0.980000     0.011431      2.624453         NaN           NaN  0.004100 0.783638         0.000000             0.0 6854.009518
    26.0         3.0  q0.95 particle 150  0.980000     0.011431      2.624453    8.228765      7.523146 -0.066455 1.623924         0.000000             0.0 6854.009518
    26.0         3.0  q0.95      ref 150  0.980000     0.011431      2.624453         NaN           NaN -0.066455 1.623924         0.000000             0.0 6854.009518
    26.0         3.0  q0.99 particle 150  0.980000     0.011431      2.624453   11.063475     10.108790 -0.101117 2.192399         0.000000             0.0 6854.009518
    26.0         3.0  q0.99      ref 150  0.966667     0.014657      1.137147         NaN           NaN -0.101117 2.192399         0.000000             0.0 6854.009518
    26.0         6.0   q0.5 particle 150  0.953333     0.017222      0.193552    6.281969      6.435229  0.174188 1.494929         0.000000             0.0 7403.568616
    26.0         6.0   q0.5      ref 150  0.953333     0.017222      0.193552         NaN           NaN  0.174188 1.494929         0.000000             0.0 7403.568616
    26.0         6.0  q0.95 particle 150  0.960000     0.016000      0.625000   14.530738     13.844157 -0.735615 2.892526         0.000000             0.0 7403.568616
    26.0         6.0  q0.95      ref 150  0.953333     0.017222      0.193552         NaN           NaN -0.735615 2.892526         0.000000             0.0 7403.568616
    26.0         6.0  q0.99 particle 150  0.973333     0.013154      1.773811   19.526515     18.499235 -1.119741 3.904406         0.000000             0.0 7403.568616
    26.0         6.0  q0.99      ref 150  0.966667     0.014657      1.137147         NaN           NaN -1.119741 3.904406         0.000000             0.0 7403.568616
    30.0         1.5   q0.5 particle 150  0.966667     0.014657      1.137147    2.099202      2.089869 -0.020177 0.433718         0.006667             0.0 6453.682647
    30.0         1.5   q0.5      ref 150  0.966667     0.014657      1.137147         NaN           NaN -0.020177 0.433718         0.006667             0.0 6453.682647
    30.0         1.5  q0.95 particle 150  0.966667     0.014657      1.137147    4.522375      4.344758  0.103263 0.859005         0.006667             0.0 6453.682647
    30.0         1.5  q0.95      ref 150  0.966667     0.014657      1.137147         NaN           NaN  0.103263 0.859005         0.006667             0.0 6453.682647
    30.0         1.5  q0.99 particle 150  0.973333     0.013154      1.773811    6.216853      5.781594  0.149885 1.133814         0.006667             0.0 6453.682647
    30.0         1.5  q0.99      ref 150  0.973333     0.013154      1.773811         NaN           NaN  0.149885 1.133814         0.006667             0.0 6453.682647
