block,dgp,prior_name,scale,target,n_policies,physical,pseudo_min,pseudo_max,spread,spread_se,policy_at_min,policy_at_max,max_abs_pseudo_minus_physical,curve_scale_units
I,beta_cdf,cal,s3,q0.5,4,29.355858727356058,29.41565688307314,29.566995488601922,0.15133860552878176,0.007493433334660409,fixed_design,uniform_grid,0.21113676124586434,0.05044620184292725
I,beta_cdf,cal,s3,q0.95,4,36.2741309468711,35.94739206059102,36.19705304400636,0.24966098341533893,0.01372686412628137,uniform_grid,entropy_q0.95,0.32673888628007575,0.08322032780511297
I,beta_cdf,cal,s3,q0.99,4,38.92787333480589,38.59091212019543,38.96051511550888,0.36960299531344987,0.017848016883703764,uniform_grid,fixed_design,0.33696121461045436,0.12320099843781662
I,cloglog_0.5,cal,s3,q0.5,4,30.000000000018122,29.678980886762346,29.849122363502023,0.17014147673967628,0.012459683003255003,uniform_grid,fixed_design,0.32101911325577603,0.056713825579892095
I,cloglog_0.5,cal,s3,q0.95,4,34.33525179345518,34.50640783509501,34.993004688995825,0.48659685390081364,0.029712624288469866,entropy_q0.95,uniform_grid,0.6577528955406464,0.1621989513002712
I,cloglog_0.5,cal,s3,q0.99,4,36.19689957324815,36.488943400708166,37.19470616004407,0.7057627593359044,0.04071928975499672,entropy_q0.95,uniform_grid,0.9978065867959174,0.23525425311196813
I,cloglog_1.0,cal,s3,q0.5,4,30.000000000036525,29.363503097275057,29.699269762326338,0.33576666505128117,0.023281763560403793,uniform_grid,fixed_design,0.6364969027614684,0.11192222168376038
I,cloglog_1.0,cal,s3,q0.95,4,33.81468962342685,34.12121455614571,34.93621996072471,0.8150054045790043,0.06320430459465659,entropy_q0.95,uniform_grid,1.1215303372978624,0.27166846819300144
I,cloglog_1.0,cal,s3,q0.99,4,34.935329170425796,36.04825916660454,37.24510290378484,1.196843737180302,0.08180193216209944,entropy_q0.95,uniform_grid,2.3097737333590445,0.398947912393434
I,logistic_0.5,cal,s3,q0.5,4,30.0,29.9599672307167,30.003132949744455,0.04316571902775479,0.007477979729622109,entropy_q0.95,uniform_grid,0.04003276928330024,0.014388573009251596
I,logistic_0.5,cal,s3,q0.95,4,35.21198473697024,35.04898081197656,35.35845496934389,0.3094741573673261,0.009787263078262687,fixed_design,uniform_grid,0.16300392499367433,0.10315805245577536
I,logistic_0.5,cal,s3,q0.99,4,37.815574562163114,37.14070040630434,37.57726707995834,0.43656667365399926,0.012920695259976748,fixed_design,uniform_grid,0.6748741558587739,0.1455222245513331
I,logistic_1.0,cal,s3,q0.5,4,30.0,29.926082785404635,30.008918629194294,0.08283584378965969,0.013415781757502689,entropy_q0.95,uniform_grid,0.07391721459536527,0.027611947929886565
I,logistic_1.0,cal,s3,q0.95,4,35.53546049727342,35.1655766833173,35.73016833437302,0.5645916510557214,0.01578658071514496,fixed_design,uniform_grid,0.3698838139561218,0.1881972170185738
I,logistic_1.0,cal,s3,q0.99,4,38.638693004212946,37.30543464262868,38.100591268277086,0.7951566256484028,0.020793557098411696,fixed_design,uniform_grid,1.3332583615842637,0.2650522085494676
I,mixture_0.5,cal,s3,q0.5,4,30.0,29.999386768029886,30.00643772198493,0.007050953955044292,0.0012914696193116698,entropy_vector,entropy_q0.95,0.006437721984930533,0.002350317985014764
I,mixture_0.5,cal,s3,q0.95,4,34.86693113894355,34.86231501068055,34.901000556978154,0.03868554629760723,0.0009971943724307966,uniform_grid,fixed_design,0.03406941803460484,0.01289518209920241
I,mixture_0.5,cal,s3,q0.99,4,36.83034340505614,36.877055508051605,36.931628979973944,0.05457347192233897,0.0013209212399690256,uniform_grid,fixed_design,0.10128557491780299,0.01819115730744632
I,mixture_1.0,cal,s3,q0.5,4,30.0,29.999024621739586,30.012840468723695,0.01381584698410876,0.002339496682787072,uniform_grid,entropy_q0.95,0.012840468723695153,0.004605282328036253
I,mixture_1.0,cal,s3,q0.95,4,34.80142875995674,34.7877798619468,34.867612706192624,0.07983284424582138,0.00209515630578736,uniform_grid,fixed_design,0.06618394623588131,0.02661094808194046
I,mixture_1.0,cal,s3,q0.99,4,36.67843428513263,36.77185254382354,36.884458308007325,0.11260576418378321,0.0027856991957580365,uniform_grid,fixed_design,0.20602402287469346,0.037535254727927736
I,probit,cal,s3,q0.5,4,30.0,30.0,30.000000004525205,4.52520509952592e-09,1.1566600353012325e-08,entropy_q0.95,fixed_design,4.52520509952592e-09,1.5084016998419731e-09
I,probit,cal,s3,q0.95,4,34.93456088085442,34.9345608723468,34.93456088085442,8.507619497777341e-09,8.671918993296555e-09,fixed_design,entropy_q0.95,8.507619497777341e-09,2.8358731659257805e-09
I,probit,cal,s3,q0.99,4,36.979043622122525,36.97904360821516,36.979043622122525,1.390736770190415e-08,1.3587338313983864e-08,fixed_design,entropy_q0.95,1.390736770190415e-08,4.63578923396805e-09
I,robit_0.5,cal,s3,q0.5,4,30.0,29.889991806461257,30.016564854421794,0.12657304796053737,0.02053305317475107,entropy_q0.95,uniform_grid,0.11000819353874292,0.04219101598684579
I,robit_0.5,cal,s3,q0.95,4,35.57677973360848,35.16664789268194,36.15569578329894,0.9890478906170017,0.031966770249260285,fixed_design,uniform_grid,0.5789160496904557,0.32968263020566724
I,robit_0.5,cal,s3,q0.99,4,39.737825012389216,37.306948137171446,38.69925488278689,1.3923067456154428,0.04300897550550221,fixed_design,uniform_grid,2.43087687521777,0.4641022485384809
I,robit_1.0,cal,s3,q0.5,4,30.0,29.773570820872614,30.03724256623589,0.26367174536327553,0.03446237112538426,entropy_q0.95,uniform_grid,0.22642917912738625,0.0878905817877585
I,robit_1.0,cal,s3,q0.95,4,36.504586384524266,35.40822918928221,37.05308416476049,1.6448549754782817,0.037749727731474385,fixed_design,uniform_grid,1.0963571952420565,0.5482849918260939
I,robit_1.0,cal,s3,q0.99,4,42.55029017330671,37.64827898364791,39.95988122532707,2.3116022416791537,0.05025259156331534,fixed_design,uniform_grid,4.902011189658801,0.770534080559718
I,tail_0.5,cal,s3,q0.5,4,30.0,29.997145104408006,30.25007079445796,0.25292569004995613,0.024217131432623294,entropy_q0.95,uniform_grid,0.25007079445796165,0.08430856334998538
I,tail_0.5,cal,s3,q0.95,4,36.43456088085442,35.00775054685166,35.90793409181125,0.9001835449595887,0.029364615041454347,fixed_design,uniform_grid,1.4268103340027594,0.30006118165319623
I,tail_0.5,cal,s3,q0.99,4,39.91904362212253,37.0756167228333,38.266189914751045,1.1905731919177427,0.10167821105889155,fixed_design,entropy_q0.95,2.843426899289227,0.39685773063924756
I,tail_1.0,cal,s3,q0.5,4,30.0,29.93657064205625,30.487490070175618,0.5509194281193679,0.043631870745728225,entropy_q0.95,uniform_grid,0.4874900701756175,0.18363980937312263
I,tail_1.0,cal,s3,q0.95,4,37.93456088085442,35.04504426166157,36.92493975733778,1.8798954956762088,0.058061964243871424,fixed_design,uniform_grid,2.8895166191928467,0.6266318318920696
I,tail_1.0,cal,s3,q0.99,4,42.85904362212253,37.12482249033358,39.59209801132734,2.467275520993759,0.07920281430543051,fixed_design,uniform_grid,5.734221131788949,0.8224251736645863
II,beta_cdf,shifted,s3,q0.5,4,29.355858727356058,27.95132838943704,29.61793592067556,1.666607531238519,0.01995819925315883,fixed_design,entropy_q0.95,1.4045303379190166,0.5555358437461729
II,beta_cdf,shifted,s3,q0.95,4,36.2741309468711,32.368650639637735,36.14224666445563,3.7735960248178912,0.014006141196576354,fixed_design,entropy_q0.95,3.9054803072333613,1.2578653416059637
II,beta_cdf,shifted,s3,q0.99,4,38.92787333480589,34.198831545540585,38.845393111808576,4.646561566267991,0.024603274344101332,fixed_design,entropy_q0.95,4.7290417892653025,1.5488538554226636
II,probit_center,shifted,s3,q0.5,4,30.0,29.999999989205755,30.000000040132207,5.0926452388466714e-08,7.247058293480973e-09,entropy_vector,fixed_design,4.0132206891030364e-08,1.6975484129488905e-08
