target,c_fraction,R,exact_max,exact_argmax_x,est_argmax_x,argmax_matches,exact_value_at_est_argmax,criterion_efficiency,mean_bias,max_abs_error,bias_over_exact_max,frac_negative,min_estimate,corr_with_exact,density_integral
sigma,0.02,50,0.017053044121002434,44.0,16.0,False,0.017053044120989402,0.9999999999992358,-0.015946333114423845,0.021873099051835765,-0.9351018505126854,0.685,-0.021859517401858986,0.9976673093731447,1.0321357965086049
sigma,0.02,100,0.017053044121002434,44.0,16.0,False,0.017053044120989402,0.9999999999992358,-0.011570108223965404,0.014516510998569654,-0.6784775868676564,0.6,-0.014436105034610014,0.9927523736754867,1.0216074718922372
sigma,0.02,200,0.017053044121002434,44.0,16.0,False,0.017053044120989402,0.9999999999992358,-0.009769791317886049,0.010706975140633124,-0.5729060013310837,0.555,-0.010692401262994422,0.9966490232794127,1.0161720867529196
sigma,0.02,400,0.017053044121002434,44.0,16.0,False,0.017053044120989402,0.9999999999992358,-0.0071103667047972266,0.007656139348549029,-0.4169558616247371,0.46,-0.007569722479355501,0.9995030756078245,1.0116086521281635
sigma,0.05,50,0.017053044121002434,44.0,16.0,False,0.017053044120989402,0.9999999999992358,-0.014437941525175491,0.019565335577576115,-0.846648928058176,0.66,-0.019562682637667916,0.9970789177649059,1.028430165228327
sigma,0.05,100,0.017053044121002434,44.0,16.0,False,0.017053044120989402,0.9999999999992358,-0.006872422404029821,0.008578274684963083,-0.40300267537370554,0.46,-0.008474956078850737,0.9949885750421571,1.0124347193758625
sigma,0.05,200,0.017053044121002434,44.0,16.0,False,0.017053044120989402,0.9999999999992358,-0.0076103112875648415,0.008210314156094523,-0.4462728902572899,0.475,-0.008112567171619567,0.9986643539163582,1.0119178738954773
sigma,0.05,400,0.017053044121002434,44.0,16.0,False,0.017053044120989402,0.9999999999992358,-0.00333000568481287,0.0039080637534475715,-0.19527338703778135,0.285,-0.0029747515652233103,0.9992489376756686,1.0045159226937381
sigma,0.1,50,0.017053044121002434,44.0,16.0,False,0.017053044120989402,0.9999999999992358,-0.010676963958500135,0.013568460343085231,-0.6261031099632497,0.585,-0.013557672060262482,0.9952042099120602,1.0196753309042617
sigma,0.1,100,0.017053044121002434,44.0,16.0,False,0.017053044120989402,0.9999999999992358,-0.0047239575384547304,0.0054704445590564865,-0.2770154996923236,0.365,-0.004442988469919307,0.9964402568698122,1.0065077067864538
sigma,0.1,200,0.017053044121002434,44.0,16.0,False,0.017053044120989402,0.9999999999992358,-0.0030112894366573825,0.004519286176654341,-0.17658368882941522,0.215,-0.0014739716166205508,0.996498322964085,1.002232806528264
