n,target_p,stimulus_r,stimulus_x,utility,vector_mi,is_argmax,argmax_r,quad_density_integral,quad_empty_windows,post_mu_median,post_sigma_median,ess
5,0.5,0.02,18.351535611736168,0.022232539237438287,0.0627846353285118,False,0.7,1.000422951398451,0,27.83659932754935,4.719076982534774,6870.314380996091
5,0.5,0.06,20.70793354874318,0.02843603899126701,0.07200050986809242,False,0.7,1.000422951398451,0,27.83659932754935,4.719076982534774,6870.314380996091
5,0.5,0.1,21.980999331995903,0.03276461867720093,0.0748694129775403,False,0.7,1.000422951398451,0,27.83659932754935,4.719076982534774,6870.314380996091
5,0.5,0.14,22.921759522495297,0.03661064052588203,0.0753207738060217,False,0.7,1.000422951398451,0,27.83659932754935,4.719076982534774,6870.314380996091
5,0.5,0.18,23.668422984388698,0.040171426720143566,0.07461197879830672,False,0.7,1.000422951398451,0,27.83659932754935,4.719076982534774,6870.314380996091
5,0.5,0.22,24.30168827667126,0.04361500433466858,0.07352180318874113,False,0.7,1.000422951398451,0,27.83659932754935,4.719076982534774,6870.314380996091
5,0.5,0.26,24.87529739119726,0.04709890570043951,0.07252932273894963,False,0.7,1.000422951398451,0,27.83659932754935,4.719076982534774,6870.314380996091
5,0.5,0.3,25.4137017019257,0.05066224510857209,0.07199895159261682,False,0.7,1.000422951398451,0,27.83659932754935,4.719076982534774,6870.314380996091
5,0.5,0.34,25.934670180219072,0.054302089009945265,0.07222512163175143,False,0.7,1.000422951398451,0,27.83659932754935,4.719076982534774,6870.314380996091
5,0.5,0.38,26.42583059457804,0.05779058700783546,0.07337968888646285,False,0.7,1.000422951398451,0,27.83659932754935,4.719076982534774,6870.314380996091
5,0.5,0.42,26.89625855093871,0.06105837919932611,0.0755055561107485,False,0.7,1.000422951398451,0,27.83659932754935,4.719076982534774,6870.314380996091
5,0.5,0.46,27.38670318838566,0.06425757785166208,0.07883158427077275,False,0.7,1.000422951398451,0,27.83659932754935,4.719076982534774,6870.314380996091
5,0.5,0.5,27.836740702881258,0.06689965311613988,0.08278677174771898,False,0.7,1.000422951398451,0,27.83659932754935,4.719076982534774,6870.314380996091
5,0.5,0.54,28.31187323926025,0.06928304054612677,0.0876524027675546,False,0.7,1.000422951398451,0,27.83659932754935,4.719076982534774,6870.314380996091
5,0.5,0.58,28.809011445547387,0.07123528077869601,0.0930964201000799,False,0.7,1.000422951398451,0,27.83659932754935,4.719076982534774,6870.314380996091
5,0.5,0.62,29.286745541530603,0.07252448366491493,0.09822583078168101,False,0.7,1.000422951398451,0,27.83659932754935,4.719076982534774,6870.314380996091
5,0.5,0.66,29.774204088774955,0.07322267242619207,0.10296057413795978,False,0.7,1.000422951398451,0,27.83659932754935,4.719076982534774,6870.314380996091
5,0.5,0.7,30.3118329402365,0.07329368169797423,0.10727395118686978,True,0.7,1.000422951398451,0,27.83659932754935,4.719076982534774,6870.314380996091
5,0.5,0.74,30.87506245183881,0.07265718809305366,0.11058734922330349,False,0.7,1.000422951398451,0,27.83659932754935,4.719076982534774,6870.314380996091
