target,n,max_mean_diff_sd,p95_mean_diff_sd,max_rank_diff,p95_rank_diff,sd_ratio_min,sd_ratio_max,coverage_disagreements
q0.5,24,0.0003266633705466569,0.00020417813571307046,0.004349311538945355,0.0035997440233491353,0.9998609527700136,1.0000314456708161,0
q0.95,24,0.00041397515281279423,0.00013144983449172034,0.0023522520418136073,0.001076114903785713,0.9996912436800547,1.0000603014478462,0
q0.99,24,0.0004015783713037769,0.0001593123048254681,0.0014024143223026891,0.0006550699132996704,0.9997140506353858,1.0000586081822171,0
