dgp,design,design_r_prior,n,fit,fit_r_prior,target,n_rep,coverage,coverage_se,z_mean,z_mean_se,z_sd,p_abs_z_gt_4,p_abs_z_gt_4_se,miss_halfwidths_mean,abs_miss_halfwidths_mean,dangerous_error,dangerous_error_se,bias,bias_se,rmse,mean_width,median_width,mean_post_sd,target_true,r_mean,r_sd,r_mass_at_zero,r_mass_at_max,max_boundary_mass,ess_min,frac_below_ess_floor,x_max_mean,frac_above_onset,design_kl_nats,realized_flips_mean,frac_zero_flips,frac_all_equal,fit_seconds_mean,design_seconds_mean,n_blind,coverage_blind,coverage_blind_se,bias_blind,mean_width_blind,n_informed,coverage_informed,coverage_informed_se,bias_informed,mean_width_informed
probit,mi2,,50,probit,,q0.5,6,1.0,0.0,-0.1310080055839383,0.23092757658273275,0.5656547301651806,0.0,0.0,0.06627020745815186,0.231169811827053,0.0,0.0,0.11034706070993631,0.1850086366295959,0.4281558734211544,3.3832111308410204,3.2529400964593176,0.8575904191000611,30.0,,,,,2.2279167438602655e-14,149.7998225017912,0.0,36.68341708542714,0.39999999999999997,0.0,0.0,1.0,0.0,2.116768757502238,1.2259019613265991,6,1.0,0.0,0.11034706070993631,3.3832111308410204,0,,,,
probit,mi2,,50,probit,,q0.95,6,1.0,0.0,-0.6935190171054165,0.20899230289483314,0.5119245022615289,0.0,0.0,0.3577904176064152,0.39794585238599384,0.0,0.0,1.2617900509136888,0.3953162752999171,1.540613163701313,6.580885688460438,6.469569149306842,1.696461391104557,34.93456088085442,,,,,2.2279167438602655e-14,149.7998225017912,0.0,36.68341708542714,0.39999999999999997,0.0,0.0,1.0,0.0,2.116768757502238,1.2259019613265991,6,1.0,0.0,1.2617900509136888,6.580885688460438,0,,,,
probit,mi2,,50,probit,,q0.99,6,1.0,0.0,-0.7268788133328443,0.20294992000516746,0.49712374735132414,0.0,0.0,0.3763884279356406,0.3973074733728843,0.0,0.0,1.7388548552328587,0.524466693050545,2.097365673449377,8.624828188463114,8.486552352172708,2.232482984098533,36.979043622122525,,,,,2.2279167438602655e-14,149.7998225017912,0.0,36.68341708542714,0.39999999999999997,0.0,0.0,1.0,0.0,2.116768757502238,1.2259019613265991,6,1.0,0.0,1.7388548552328587,8.624828188463114,0,,,,
probit,mi2,,50,robit,heavy_tail,q0.5,6,1.0,0.0,-0.13327802035892014,0.1879505489154111,0.4603829417187674,0.0,0.0,0.06825275392838435,0.18422369746904207,0.0,0.0,0.14429149381414477,0.17924775809101937,0.42599158335629167,3.9685304257283005,3.7457395588670686,1.0148712459965827,30.0,0.37568544171619744,0.09654917422247249,0.0,0.046982643069352625,2.2355875664573648e-14,149.7998225017912,0.0,36.68341708542714,0.39999999999999997,0.0,0.0,1.0,0.0,25.636205355326336,1.2259019613265991,6,1.0,0.0,0.14429149381414477,3.9685304257283005,0,,,,
probit,mi2,,50,robit,heavy_tail,q0.95,6,1.0,0.0,-0.9734190389557992,0.15483740327670098,0.3792726311254615,0.0,0.0,0.499773972659852,0.499773972659852,0.0,0.0,2.4831016486590776,0.45342378567920144,2.682118462087706,9.638718452287634,9.575241380055783,2.4737294978697872,34.93456088085442,0.37568544171619744,0.09654917422247249,0.0,0.046982643069352625,2.2355875664573648e-14,149.7998225017912,0.0,36.68341708542714,0.39999999999999997,0.0,0.0,1.0,0.0,25.636205355326336,1.2259019613265991,6,1.0,0.0,2.4831016486590776,9.638718452287634,0,,,,
probit,mi2,,50,robit,heavy_tail,q0.99,6,0.3333333333333333,0.19245008972987526,-1.5118726456255536,0.08991965101628119,0.22025726283902372,0.0,0.0,0.7883257240369689,0.7883257240369689,0.0,0.0,8.20651079396447,0.8271921245888864,8.412375019360748,20.568215226338356,20.771071359887735,5.36448187921934,36.979043622122525,0.37568544171619744,0.09654917422247249,0.0,0.046982643069352625,2.2355875664573648e-14,149.7998225017912,0.0,36.68341708542714,0.39999999999999997,0.0,0.0,1.0,0.0,25.636205355326336,1.2259019613265991,6,0.3333333333333333,0.19245008972987526,8.20651079396447,20.568215226338356,0,,,,
probit,mi2,,50,robit,near_probit,q0.5,6,1.0,0.0,-0.1318184268567775,0.22463833460113347,0.5502492964413719,0.0,0.0,0.06672210428628632,0.2208036231520953,0.0,0.0,0.1152441810003797,0.1838315649288752,0.4269091736838699,3.4626294302673037,3.30677235663636,0.8774248504606795,30.0,0.04982199945439952,0.0459500628069567,0.13818430415361768,0.0,3.1294193559771534e-14,149.7998225017912,0.0,36.68341708542714,0.39999999999999997,0.0,0.0,1.0,0.0,25.438552697499592,1.2259019613265991,6,1.0,0.0,0.1152441810003797,3.4626294302673037,0,,,,
probit,mi2,,50,robit,near_probit,q0.95,6,1.0,0.0,-0.7268448821467445,0.20144417591095162,0.4934354426372861,0.0,0.0,0.3743075162792595,0.4034187536182607,0.0,0.0,1.3729798699964704,0.4002370957497952,1.638908901521582,6.897267714461203,6.781404605230577,1.7747477706280452,34.93456088085442,0.04982199945439952,0.0459500628069567,0.13818430415361768,0.0,3.1294193559771534e-14,149.7998225017912,0.0,36.68341708542714,0.39999999999999997,0.0,0.0,1.0,0.0,25.438552697499592,1.2259019613265991,6,1.0,0.0,1.3729798699964704,6.897267714461203,0,,,,
probit,mi2,,50,robit,near_probit,q0.99,6,1.0,0.0,-0.8572824432910973,0.18362151702114132,0.4497790224975724,0.0,0.0,0.4436152911155402,0.4436152911155402,0.0,0.0,2.23937766638844,0.5487723363963685,2.5535402324398535,9.590682360110062,9.457693232802697,2.4812025741881567,36.979043622122525,0.04982199945439952,0.0459500628069567,0.13818430415361768,0.0,3.1294193559771534e-14,149.7998225017912,0.0,36.68341708542714,0.39999999999999997,0.0,0.0,1.0,0.0,25.438552697499592,1.2259019613265991,6,1.0,0.0,2.23937766638844,9.590682360110062,0,,,,
probit,mi2,,50,robit,reference_uniform,q0.5,6,1.0,0.0,-0.1334105775650676,0.20006615287454507,0.49005998934428935,0.0,0.0,0.06758364710078962,0.1905459203696189,0.0,0.0,0.13416115628310146,0.17984547346293178,0.4239353576675921,3.7899234965724045,3.5598041513749337,0.9640423346412357,30.0,0.25234003222594187,0.1438950092716045,0.015079389532315681,0.01591871975318325,1.660573784821429e-14,149.7998225017912,0.0,36.68341708542714,0.39999999999999997,0.0,0.0,1.0,0.0,25.438634077707928,1.2259019613265991,6,1.0,0.0,0.13416115628310146,3.7899234965724045,0,,,,
probit,mi2,,50,robit,reference_uniform,q0.95,6,1.0,0.0,-0.8651310193003806,0.16636536086200218,0.4075102449858963,0.0,0.0,0.44544465468425204,0.44544465468425204,0.0,0.0,2.02233946835223,0.43452317996356105,2.2436374250050757,8.72598845263998,8.647672431415103,2.2452343744204115,34.93456088085442,0.25234003222594187,0.1438950092716045,0.015079389532315681,0.01591871975318325,1.660573784821429e-14,149.7998225017912,0.0,36.68341708542714,0.39999999999999997,0.0,0.0,1.0,0.0,25.438634077707928,1.2259019613265991,6,1.0,0.0,2.02233946835223,8.72598845263998,0,,,,
probit,mi2,,50,robit,reference_uniform,q0.99,6,0.8333333333333334,0.15214515486254612,-1.1451195467221738,0.1008515504191856,0.24703483829557563,0.0,0.0,0.603365760912893,0.603365760912893,0.0,0.0,5.652270502145349,0.7407332342062348,5.889956744383661,18.361703305155448,18.514627916635366,4.839129397686153,36.979043622122525,0.25234003222594187,0.1438950092716045,0.015079389532315681,0.01591871975318325,1.660573784821429e-14,149.7998225017912,0.0,36.68341708542714,0.39999999999999997,0.0,0.0,1.0,0.0,25.438634077707928,1.2259019613265991,6,0.8333333333333334,0.15214515486254612,5.652270502145349,18.361703305155448,0,,,,
probit,mi2,,100,probit,,q0.5,6,1.0,0.0,-0.8567546316742621,0.17479468447476662,0.4281577867139628,0.0,0.0,0.43568855655514344,0.43568855655514344,0.0,0.0,0.4777901562481155,0.10003290315758752,0.5275569561462298,2.1827761835171877,2.058058371733132,0.5550933742429623,30.0,,,,,1.5670059924761996e-14,149.7998225017912,0.0,36.73031825795645,0.44333333333333336,0.0,0.0,1.0,0.0,2.2131863832473755,1.4036060174306233,6,1.0,0.0,0.4777901562481155,2.1827761835171877,0,,,,
probit,mi2,,100,probit,,q0.95,6,0.8333333333333334,0.15214515486254612,-0.9810714547104059,0.26190521936429484,0.6415341484142183,0.0,0.0,0.5009579052093626,0.5009579052093626,0.0,0.0,1.0613982150481966,0.35632956309882874,1.3271849752760572,3.9441348077172074,3.751085707795305,1.006631803033207,34.93456088085442,,,,,1.5670059924761996e-14,149.7998225017912,0.0,36.73031825795645,0.44333333333333336,0.0,0.0,1.0,0.0,2.2131863832473755,1.4036060174306233,6,0.8333333333333334,0.15214515486254612,1.0613982150481966,3.9441348077172074,0,,,,
probit,mi2,,100,probit,,q0.99,6,0.8333333333333334,0.15214515486254612,-0.9125867462739358,0.26920037342099135,0.6594035534481195,0.0,0.0,0.46685292503495385,0.46685292503495385,0.0,0.0,1.3031981710506397,0.47627117234583644,1.6830022641304196,5.137169921063022,4.910828076295253,1.3134357355119837,36.979043622122525,,,,,1.5670059924761996e-14,149.7998225017912,0.0,36.73031825795645,0.44333333333333336,0.0,0.0,1.0,0.0,2.2131863832473755,1.4036060174306233,6,0.8333333333333334,0.15214515486254612,1.3031981710506397,5.137169921063022,0,,,,
probit,mi2,,100,robit,heavy_tail,q0.5,6,1.0,0.0,-0.8255482074470805,0.17526057664085515,0.42929898479603973,0.0,0.0,0.422390344472024,0.422390344472024,0.0,0.0,0.5640537564492298,0.11857284776718931,0.6232609736720184,2.655427155483745,2.51915973383003,0.6790732999180266,30.0,0.37539838972640655,0.09632933242212445,0.0,0.04664877960948982,2.229349760928928e-14,149.7998225017912,0.0,36.73031825795645,0.44333333333333336,0.0,0.0,1.0,0.0,31.127395192782085,1.4036060174306233,6,1.0,0.0,0.5640537564492298,2.655427155483745,0,,,,
probit,mi2,,100,robit,heavy_tail,q0.95,6,0.8333333333333334,0.15214515486254612,-1.3376544414029654,0.1942675672202219,0.47585641326137507,0.0,0.0,0.6813588167865053,0.6813588167865053,0.0,0.0,2.044641011978244,0.4575210874634395,2.286303697069149,5.771927186394977,5.480763450089139,1.4695600936867068,34.93456088085442,0.37539838972640655,0.09632933242212445,0.0,0.04664877960948982,2.229349760928928e-14,149.7998225017912,0.0,36.73031825795645,0.44333333333333336,0.0,0.0,1.0,0.0,31.127395192782085,1.4036060174306233,6,0.8333333333333334,0.15214515486254612,2.044641011978244,5.771927186394977,0,,,,
probit,mi2,,100,robit,heavy_tail,q0.99,6,0.0,0.0,-1.9253769735970883,0.10384463915550401,0.25436637845442744,0.0,0.0,0.9957323783667013,0.9957323783667013,0.0,0.0,6.830473668398743,0.886701826483904,7.112423720514551,13.491310519495324,12.599862120968577,3.488909524353874,36.979043622122525,0.37539838972640655,0.09632933242212445,0.0,0.04664877960948982,2.229349760928928e-14,149.7998225017912,0.0,36.73031825795645,0.44333333333333336,0.0,0.0,1.0,0.0,31.127395192782085,1.4036060174306233,6,0.0,0.0,6.830473668398743,13.491310519495324,0,,,,
