arm,mechanism,target,n,cov_particle,cov_reference,cov_diff,cov_diff_se,n_discordant,mean_shift_in_ref_sd,p95_shift_in_ref_sd,sd_ratio_mean,sd_ratio_p05,sd_ratio_p95,rank_diff_mean,rank_diff_p95_abs,width_ratio_mean,loss_particle,loss_reference,ess_mean,max_weight_mean,n_resamples_mean,n_invalid_mean
no_overlap,steep_in_support,q0.5,1320,0.8863636363636364,0.9734848484848485,-0.08712121212121213,0.007983899694571419,121,0.19479855966783552,0.4630947118042986,0.843262141140157,0.3840925025304256,1.1413429936353992,-0.002205611489641566,0.32166879360744444,0.9005204964527823,0.9699220059901008,0.960911197186907,112.39621873753873,0.32647252605725163,5.299242424242424,8629.258333333333
no_overlap,steep_in_support,q0.95,1320,0.41818181818181815,0.9795454545454545,-0.5613636363636364,0.013663188402062631,741,0.6064251204437681,1.3703636900736793,0.8422570369255395,0.454119991007447,1.0919760523391464,-0.21849970859357976,0.5380161475491901,0.8371511887863509,0.4665940576006978,0.49429497435469527,112.39621873753873,0.32647252605725163,5.299242424242424,8629.258333333333
no_overlap,steep_in_support,q0.99,1320,0.28106060606060607,0.9901515151515151,-0.7090909090909091,0.012505677004588402,936,0.6614314125070465,1.4966275862845395,0.8420318927533107,0.47030621860818733,1.067052469292679,-0.24667142115042967,0.5497367768668815,1.0637735601823828,0.5590516328918613,0.4540556797536996,112.39621873753873,0.32647252605725163,5.299242424242424,8629.258333333333
no_overlap,truth_at_or_outside_grid,q0.5,955,0.9916230366492147,1.0,-0.008376963350785341,0.0029508180004725695,8,0.09785007839216647,0.3100131966389582,0.9187167023110253,0.7961316636114909,1.020336832295027,-0.0006932721803974625,0.11206370491794956,0.9089230950453668,7.629858199673686,7.536055858426104,780.5131371332016,0.08241307563941283,6.5842931937172775,9856.393717277488
no_overlap,truth_at_or_outside_grid,q0.95,955,0.9047120418848168,0.9958115183246073,-0.09109947643979058,0.009316267069444195,87,0.16108278517643576,0.38723094381564405,0.8961548987749339,0.6433495605564747,1.0379233006520503,-0.034472143654768944,0.1404429342947084,0.8849072383925891,2.980000118203827,3.0768124015878597,780.5131371332016,0.08241307563941283,6.5842931937172775,9856.393717277488
no_overlap,truth_at_or_outside_grid,q0.99,955,0.8617801047120419,0.9989528795811519,-0.13717277486910995,0.011138371393502735,131,0.18880152531648753,0.4474870439773621,0.8972508057087418,0.6519437700191955,1.0433094783398802,-0.04930873743996605,0.18922581476966682,0.8920545035190667,2.7914868136867557,2.718576324156807,780.5131371332016,0.08241307563941283,6.5842931937172775,9856.393717277488
overlap_control,steep_in_support,q0.5,1024,0.9736328125,0.9892578125,-0.015625,0.004116341367187845,18,0.09241300797552332,0.27549129496781055,0.9785966341234629,0.8119091905820336,1.0734103305623082,0.003302012159424264,0.15413911968112273,0.9935394883106858,0.8497919221684329,0.8117861176159585,1387.7957444273686,0.09838368715708541,6.3642578125,8906.6064453125
overlap_control,steep_in_support,q0.95,1024,0.611328125,0.8740234375,-0.2626953125,0.013966370035735844,275,0.17386659526491677,0.5973156223524977,0.9660787853594817,0.8354136260168509,1.0514291757638201,-0.048359233300965004,0.23082318718985514,1.001527560830687,0.480355284433784,0.4282303887418325,1387.7957444273686,0.09838368715708541,6.3642578125,8906.6064453125
overlap_control,steep_in_support,q0.99,1024,0.4814453125,0.845703125,-0.3642578125,0.015234672393753017,379,0.18350173388434154,0.6169901028357604,0.9624575546530103,0.8434138582858802,1.0311975131575126,-0.05349949610579714,0.223644650976892,1.2782313060489823,0.650540243762433,0.5737798051065417,1387.7957444273686,0.09838368715708541,6.3642578125,8906.6064453125
overlap_control,truth_at_or_outside_grid,q0.5,5,1.0,1.0,0.0,0.0,0,0.13806248344320257,0.4802281653244662,0.9536376305318734,0.7617460425309242,1.0724372756916618,-0.04229629728950014,0.1834802907488286,0.9919362312462495,4.89612701863189,6.926018595274197,1502.0243015182343,0.1608311485782255,8.6,12444.6
overlap_control,truth_at_or_outside_grid,q0.95,5,0.8,0.8,0.0,0.0,0,0.08226980824221695,0.2119824916663891,0.9273815512885918,0.6803154268737115,1.0353104820499446,-0.03576883704556487,0.10991615641872338,1.075919558163271,0.8557076336482986,0.6134427346842486,1502.0243015182343,0.1608311485782255,8.6,12444.6
overlap_control,truth_at_or_outside_grid,q0.99,5,0.8,0.8,0.0,0.0,0,0.1474039777699195,0.450268289030305,0.922931289016921,0.7333230932193326,1.0002489707092879,0.08261707683278807,0.45620264858586324,0.9388072728434125,1.4396010189755337,1.128745543985083,1502.0243015182343,0.1608311485782255,8.6,12444.6
