target,mean_shift_mean,mean_shift_sd,mean_shift_p95_abs,ref_sd,shift_in_ref_sd_units,sd_ratio_mean,sd_ratio_p05,sd_ratio_p95
mu,-7.021964777544449e-05,0.01895547903886881,0.03041625128868616,1.0235155361606219,0.010480014415250824,0.9972246364498022,0.9846772611384002,1.0128251963995012
sigma,-0.0007210754896758097,0.038083723317648706,0.051825102963206846,1.3472546865104356,0.012274422747292549,0.9977652547817295,0.9786032566470589,1.0174597911547123
q0.95,-0.0012562832822963588,0.059022972746594224,0.08913577485726303,2.446621065521241,0.011650539084011154,0.997651055860687,0.9804381678681723,1.0175073032456206
q0.99,-0.0017476920802375392,0.08412857002087615,0.1252122684945718,3.3019060768837503,0.011871622499421428,0.997672227316977,0.9796067214692009,1.0175495598537079
