arm,mu_true,sigma_true,target,n,cov_particle,cov_reference,cov_diff,cov_diff_se
no_overlap,14.0,0.3,q0.5,160,0.9875,1.0,-0.0125,0.008810995846029103
no_overlap,14.0,0.3,q0.95,160,1.0,1.0,0.0,0.0
no_overlap,14.0,0.3,q0.99,160,1.0,1.0,0.0,0.0
no_overlap,14.0,0.6,q0.5,160,0.99375,1.0,-0.00625,0.0062499999999999995
no_overlap,14.0,0.6,q0.95,160,1.0,1.0,0.0,0.0
no_overlap,14.0,0.6,q0.99,160,0.99375,0.99375,0.0,0.0
no_overlap,14.0,1.2,q0.5,156,0.9935897435897436,1.0,-0.00641025641025641,0.006410256410256411
no_overlap,14.0,1.2,q0.95,156,0.9615384615384616,0.9743589743589743,-0.01282051282051282,0.009036180777415932
no_overlap,14.0,1.2,q0.99,156,0.9871794871794872,1.0,-0.01282051282051282,0.009036180777415932
no_overlap,18.0,0.3,q0.5,210,0.8809523809523809,0.9714285714285714,-0.09047619047619047,0.01984271279024388
no_overlap,18.0,0.3,q0.95,210,0.3476190476190476,0.9714285714285714,-0.6238095238095238,0.03350863645112524
no_overlap,18.0,0.3,q0.99,210,0.20952380952380953,0.9952380952380953,-0.7857142857142857,0.02838283622282237
no_overlap,22.0,0.3,q0.5,186,0.8978494623655914,0.978494623655914,-0.08064516129032258,0.02001911508841331
no_overlap,22.0,0.3,q0.95,186,0.5,0.9731182795698925,-0.4731182795698925,0.03670756407113268
no_overlap,22.0,0.3,q0.99,186,0.3333333333333333,0.9838709677419355,-0.6505376344086021,0.03505504710753769
no_overlap,26.0,0.3,q0.5,206,0.912621359223301,0.9854368932038835,-0.07281553398058252,0.019408593753583062
no_overlap,26.0,0.3,q0.95,206,0.41262135922330095,0.9902912621359223,-0.5776699029126213,0.03449760586825813
no_overlap,26.0,0.3,q0.99,206,0.2669902912621359,1.0,-0.7330097087378641,0.03089766552345811
no_overlap,30.0,0.3,q0.5,152,0.8552631578947368,0.9671052631578947,-0.1118421052631579,0.027294244534406972
no_overlap,30.0,0.3,q0.95,152,0.34868421052631576,0.993421052631579,-0.6447368421052632,0.03894734487013316
no_overlap,30.0,0.3,q0.99,152,0.25,0.993421052631579,-0.743421052631579,0.035541803680256875
no_overlap,34.0,0.3,q0.5,186,0.8763440860215054,0.989247311827957,-0.11290322580645161,0.023267665466578064
no_overlap,34.0,0.3,q0.95,186,0.45161290322580644,0.9838709677419355,-0.532258064516129,0.03668414616503557
no_overlap,34.0,0.3,q0.99,186,0.27419354838709675,0.9946236559139785,-0.7204301075268817,0.03299554168865909
no_overlap,38.0,0.3,q0.5,174,0.9022988505747126,0.9827586206896551,-0.08045977011494253,0.020680055945742397
no_overlap,38.0,0.3,q0.95,174,0.3505747126436782,0.9770114942528736,-0.6264367816091954,0.036778806118690624
no_overlap,38.0,0.3,q0.99,174,0.22988505747126436,0.9942528735632183,-0.764367816091954,0.032266023739324495
no_overlap,42.0,0.3,q0.5,206,0.8737864077669902,0.941747572815534,-0.06796116504854369,0.018877161702459656
no_overlap,42.0,0.3,q0.95,206,0.5,0.970873786407767,-0.470873786407767,0.03486221406020296
no_overlap,42.0,0.3,q0.99,206,0.3932038834951456,0.970873786407767,-0.5776699029126213,0.03449760586825813
