target,n_pairs,fc_adaptive,fc_fixed,paired_diff,paired_se,meets_h2_threshold
q0.95,300,0.25333333333333335,0.15,0.10333333333333333,0.031990220542077105,True
q0.99,300,0.25,0.10333333333333333,0.14666666666666667,0.030151358545642687,True
