policy,step,n,efficiency_mean,efficiency_se,efficiency_min,corr_mean,frac_negative,bias_mean,ref_max_mean,edge_est_rate,edge_ref_rate,edge_frac_ref_med,x_ref_med,sd_mu_mean,sd_sigma_mean
entropy_sigma,0,30,0.9999968740084252,6.20561427873669e-07,0.9999933014466252,0.9951551617580159,0.3891666666666667,-0.005350743446794552,0.017053163436604915,1.0,1.0,0.0,16.0,5.99999418034038,3.706575337462835
entropy_sigma,5,30,0.9968789156308765,0.0008853090515144544,0.9895957716973204,0.9746875321465741,0.42125,-0.003976480912025295,0.015486789629277282,1.0,1.0,0.0,42.936708860759495,5.3938065796663714,2.5789918810626005
entropy_sigma,10,30,0.9970031738853995,7.204798464694074e-08,0.9970027591063524,0.9985477756138708,0.46875,-0.0026724487780057835,0.009333933908846499,1.0,1.0,0.012658227848101207,16.354430379746834,5.069545811961529,2.064350432711416
entropy_sigma,20,30,0.998725031364723,0.0006070730473898866,0.9848644883936655,0.9918463470739309,0.4370833333333334,-0.001094803369643874,0.005298157262434758,1.0,1.0,0.012658227848101207,16.70886075949367,4.879048351612358,1.6868492831110558
entropy_sigma,30,30,0.9904219760606224,0.003427176663091183,0.9046406586478012,0.975305898477552,0.36666666666666664,-0.00032732181203446776,0.0036921903787274055,1.0,1.0,0.025316455696202667,43.11392405063291,4.75436310959945,1.5150177520325145
entropy_vector,0,30,0.9999968740084252,6.20561427873669e-07,0.9999933014466252,0.9951551617580159,0.3891666666666667,-0.005350743446794552,0.017053163436604915,1.0,1.0,0.0,16.0,5.99999418034038,3.706575337462835
entropy_vector,5,30,0.9930525676178191,0.0011149160403727764,0.9773724541985738,0.9766406623564362,0.028749999999999998,-0.008559960609147266,0.07707807292568278,0.0,0.0,0.33544303797468356,27.518987341772153,2.3029656978354667,3.7005689284703993
entropy_vector,10,30,0.9919881074846323,0.0011811047674517813,0.9739593638524414,0.9690398521833105,0.061250000000000006,-0.007110650374947016,0.05852008534156723,0.0,0.0,0.3481012658227848,32.835443037974684,1.7231698930767143,3.0138683471222723
entropy_vector,20,30,0.9839686271227327,0.0018070894428867511,0.9624362360523521,0.9293539152832998,0.09958333333333333,-0.004857497861907519,0.035287118589703,0.0,0.0,0.33544303797468356,32.48101265822785,1.156398938502573,1.7119838366309923
entropy_vector,30,30,0.9780140491911499,0.001831326838468643,0.9486154106817338,0.922165710903551,0.09958333333333333,-0.0032179910898852073,0.023891330812939943,0.0,0.0,0.3481012658227848,33.72151898734177,0.9385589182242927,1.2200563591770122
