mu_true,sigma_true,replicate,arm,n_particles,rejuvenate,kl_threshold,overlap,ess,max_weight,n_resamples,n_invalid,q0.5_p_covered,q0.5_r_covered,q0.5_cov_diff,q0.5_rank_diff,q0.5_shift_in_ref_sd,q0.5_sd_ratio,q0.95_p_covered,q0.95_r_covered,q0.95_cov_diff,q0.95_rank_diff,q0.95_shift_in_ref_sd,q0.95_sd_ratio,q0.99_p_covered,q0.99_r_covered,q0.99_cov_diff,q0.99_rank_diff,q0.99_shift_in_ref_sd,q0.99_sd_ratio
30.0,0.3,0,N=10k rejuv,10000,True,0.1,True,380.94807407873384,0.04039872014993492,5,6960,True,True,0,0.039361637471926336,-0.03291825704525489,0.9822011357030151,True,True,0,0.012149256412528148,-0.025332054654515677,1.0038967852485046,True,True,0,0.015235565966952289,-0.021879033287024254,1.0020245827156609
30.0,0.3,0,N=40k rejuv,40000,True,0.1,True,316.985035114426,0.054263156705816475,5,31184,True,True,0,-0.03254566896429012,0.01783424635001905,0.9815783077197802,True,True,0,0.015320618249789142,-0.005578282008677449,0.9933729766711921,True,True,0,0.01347102902115671,-0.008129355537401432,0.9964103639219369
30.0,0.3,0,N=160k rejuv,160000,True,0.1,True,7560.642388588809,0.004826363338044998,5,124212,True,True,0,-0.007829904629091222,0.018112701161210474,1.0264847820933942,True,True,0,-0.04125657565395318,0.07532728213900147,0.9773810855902278,False,True,-1,-0.04671246750524544,0.07559096329749544,0.9775084383848577
30.0,0.3,0,N=10k no-rejuv,10000,False,inf,True,53.93708066760757,0.05150022409957449,0,0,True,True,0,0.0218099687470652,0.061230331553750336,1.0218632002538222,True,True,0,-0.011771829692275318,-0.023789513899355387,0.9440750755932946,True,True,0,0.000438916181501825,-0.03271156855975634,0.950891062939389
30.0,0.3,0,N=10k rejuv KL=0.02,10000,True,0.02,True,1632.1209214337955,0.013592673463936132,16,16881,True,True,0,-0.00991505674196791,0.015557540664105963,1.009563674757192,True,True,0,-0.03136368288181149,0.0546766163357873,0.9948330811684922,True,True,0,-0.04166110864835645,0.05454979572828267,0.9979483326284572
30.0,0.3,1,N=10k rejuv,10000,True,0.1,True,8830.661953480607,0.0012329900036998852,6,6331,True,True,0,-0.00762193645473197,0.0030339411605471247,0.9922432488413645,False,False,0,-0.0003721161189765799,0.007990585043859886,1.0183412964255054,False,False,0,-0.0008420525619734078,0.008029078537417392,1.019241692692248
30.0,0.3,1,N=40k rejuv,40000,True,0.1,True,33090.06388075321,0.0012603896421956278,6,26157,True,True,0,0.0007380988766483298,-0.0057919987102646115,1.001687100770969,False,False,0,0.0013239208714523809,0.002180984502610983,1.009933559018646,False,False,0,0.001083062814300362,0.002985566416750792,1.0099656274179236
30.0,0.3,1,N=160k rejuv,160000,True,0.1,True,128460.36296395768,0.0007128687616422705,6,105350,True,True,0,-0.001603229035355369,-0.002860575458814024,1.0005201952111922,False,False,0,-0.0002007501543938692,-0.0016127093624341844,0.9973319458232819,False,False,0,-0.00028871435129930434,-0.00135080291348959,0.9976636018058521
30.0,0.3,1,N=10k no-rejuv,10000,False,inf,True,103.91552713448372,0.022886575681944746,0,0,True,True,0,-0.005176731727363548,0.022338039897094597,0.99872005509446,False,False,0,-0.00010734407293923158,-0.023904363464920073,0.9800165501787843,False,False,0,1.6855001584272183e-05,-0.027787637283636313,0.9799453525863729
30.0,0.3,1,N=10k rejuv KL=0.02,10000,True,0.02,True,8519.438916911282,0.0023372134157415773,17,15545,True,True,0,0.001591580269090176,-0.0062007877196388166,0.9967118145242642,False,False,0,0.0023041311061534108,0.0017792813463222339,0.9964899685952011,False,False,0,0.0014951608537681696,0.002612667086482995,0.9969130338423888
