setting,policy,target,mse_published,mse_reproduced,mse_se,n_total,ratio,diff,z,z_combined,within_2se
probit_dep_well,dror_steinberg,mu,0.713,0.800024437872252,0.06385445681674112,250,1.1220539100592595,0.087024437872252,1.3628561295573696,0.9636848109916679,True
probit_dep_well,entropy_vector,mu,0.621,0.7634441815909254,0.06673688027230427,250,1.2293787143171102,0.14244418159092542,2.134414749531521,1.5092591432583247,True
probit_dep_well,entropy_mu,mu,0.573,0.5531633873350394,0.050858430479076025,250,0.9653811297295628,-0.019836612664960507,-0.39003587956025515,-0.2757970153431159,True
probit_dep_well,entropy_sigma,mu,1.37,3.2102114604907475,0.27008478768468086,250,2.34322004415383,1.8402114604907474,6.813458381962486,4.817842625217995,False
probit_dep_well,entropy_q0.95,mu,1.185,1.2427081949973944,0.1190156382725855,250,1.0486988987319783,0.057708194997394324,0.48487909517590716,0.3428612962544813,True
probit_dep_well,dror_steinberg,sigma,0.601,0.7697469092155983,0.06342611177376671,250,1.280776887213974,0.16874690921559832,2.6605274152307836,1.8812769768424045,True
probit_dep_well,entropy_vector,sigma,0.578,0.722997365196838,0.06508028439175727,250,1.250860493420135,0.14499736519683804,2.2279768220435536,1.5754175191934505,True
probit_dep_well,entropy_mu,sigma,1.13,1.215710513033813,0.13189508341028305,250,1.075850011534348,0.08571051303381316,0.6498385748557086,0.45950526295707345,True
probit_dep_well,entropy_sigma,sigma,0.732,1.3816834997290244,0.05644819647735186,250,1.8875457646571372,0.6496834997290244,11.509375680225503,8.138357590710985,False
probit_dep_well,entropy_q0.95,sigma,0.799,0.7882051473672809,0.06894011738634943,250,0.9864895461417783,-0.010794852632719176,-0.1565830323761042,-0.11072092401189597,True
probit_dep_well,dror_steinberg,q0.95,2.395,2.7929578204172283,0.2573526152235359,250,1.1661619291929972,0.39795782041722827,1.546352346454933,1.0934362302820124,True
probit_dep_well,entropy_vector,q0.95,2.085,2.714585520404327,0.22738437465596198,250,1.3019594822083105,0.6295855204043272,2.7688161130548448,1.957848649399659,True
probit_dep_well,entropy_mu,q0.95,4.076,3.9264706441103514,0.4235993052185701,250,0.9633146820682904,-0.14952935588964822,-0.35299716984307516,-0.2496066925356979,True
probit_dep_well,entropy_sigma,q0.95,3.179,4.1166223659963705,0.5696377056162061,250,1.2949425498573044,0.9376223659963707,1.6459977223279083,1.1638961512756756,True
probit_dep_well,entropy_q0.95,q0.95,1.927,1.6157141397526875,0.1564470326705134,250,0.8384608924507979,-0.31128586024731253,-1.989720450006225,-1.4069448228649506,True
probit_dep_well,dror_steinberg,q0.99,4.054,4.835929553564523,0.4401252128405609,250,1.1928785282596257,0.781929553564523,1.7766070444316573,1.2562508886214148,True
probit_dep_well,entropy_vector,q0.99,3.614,4.670406142536384,0.39996921618963466,250,1.2923093919580477,1.0564061425363844,2.6412186232740416,1.8676235991132721,True
probit_dep_well,entropy_mu,q0.99,7.321,7.250047486273191,0.7898868470763627,250,0.9903083576387367,-0.07095251372680877,-0.08982617445704778,-0.06351669708662433,True
probit_dep_well,entropy_sigma,q0.99,5.103,6.1486912554504025,0.8156960301062166,250,1.2049169616794833,1.0456912554504028,1.2819619280410586,0.9064839725408134,True
probit_dep_well,entropy_q0.95,q0.99,3.47,3.0154075197364554,0.2837865071965265,250,0.8689935215378833,-0.4545924802635448,-1.601881938483892,-1.1327015813622119,True
probit_ind_well,dror_steinberg,mu,0.723,0.787950053583615,0.07115248007796475,250,1.0898340990091495,0.06495005358361505,0.9128290891961399,0.6454676390349303,True
probit_ind_well,entropy_vector,mu,0.665,0.858515898614126,0.0751246817053628,250,1.2910013512994376,0.193515898614126,2.575929697420759,1.82145735690603,True
probit_ind_well,entropy_mu,mu,0.525,0.5601209418031668,0.055465797329250686,250,1.066897032006032,0.03512094180316683,0.6331999807860924,0.4477400002610375,True
probit_ind_well,entropy_sigma,mu,2.061,0.013013463920472845,0.0014011753930971357,250,0.006314150373834471,-2.0479865360795273,-1461.6203982519921,-1033.521695124566,False
probit_ind_well,entropy_q0.95,mu,1.303,1.715193562833372,0.14630002987766627,250,1.3163419515221582,0.41219356283337216,2.817453716024814,1.9922406282803833,True
probit_ind_well,dror_steinberg,sigma,0.614,0.649888456197518,0.05559412589657596,250,1.0584502543933518,0.035888456197518015,0.6455440321929476,0.4564685627181402,True
probit_ind_well,entropy_vector,sigma,0.713,0.7000481474221927,0.06584910467804,250,0.9818347088670305,-0.012951852577807288,-0.19668988122364853,-0.13908074880401847,True
probit_ind_well,entropy_mu,sigma,0.973,1.1610094350818732,0.11582721673741012,250,1.1932265519854812,0.18800943508187318,1.6231887493947654,1.1477677718427501,True
