label,dgp,pol,target,n_rep,coverage,coverage_se,false_certainty,false_certainty_se,dangerous_error,dangerous_error_se,bias,rmse,mean_width,w_star,frac_narrow
A,tail_1.0,entropy_vector,q0.5,300,0.9366666666666666,0.014085527360052114,0.006666666666666667,0.004706155586970108,0.01,0.005754160919975785,0.26041462554281836,0.8867693802839884,2.989209287061551,2.5238625928067258,0.2866666666666667
A,tail_1.0,entropy_vector,q0.95,300,0.6333333333333333,0.027868673283383872,0.25333333333333335,0.025152082937711873,0.6366666666666667,0.027814616968981933,-2.1738777551636583,2.9647328795894885,6.045214388395731,4.962188850452113,0.26
A,tail_1.0,entropy_vector,q0.99,300,0.43333333333333335,0.02865756512070317,0.25,0.025041771123531665,0.88,0.01879301086907267,-4.819494292850538,5.47512155868953,7.991483129848511,6.505481304742142,0.25
B,tail_1.0,fixed_design,q0.5,300,0.9533333333333334,0.012198043717391773,0.013333333333333334,0.006633137535414968,0.0033333333333333335,0.003333333333333333,0.020914650009337333,0.704532123453108,3.0716948445846417,2.5238625928067258,0.3333333333333333
B,tail_1.0,fixed_design,q0.95,300,0.78,0.02395648228514071,0.15,0.02064997347897266,0.5666666666666667,0.028657565120703166,-1.8129555402404491,2.8506280277172094,9.215677167839138,4.962188850452113,0.15
B,tail_1.0,fixed_design,q0.99,300,0.6333333333333333,0.027868673283383872,0.10333333333333333,0.0176035451312839,0.8166666666666667,0.022377292466572503,-4.2098057063083445,5.161435809835628,12.647313349964008,6.505481304742142,0.10333333333333333
C,probit,entropy_vector,q0.5,300,0.9666666666666667,0.010381070730216603,0.006666666666666667,0.004706155586970108,0.016666666666666666,0.007403535467669016,0.031184080540382495,0.6426441464169157,2.788020230845814,2.5238625928067258,0.33666666666666667
C,probit,entropy_vector,q0.95,300,0.9733333333333334,0.00931707454688573,0.016666666666666666,0.007403535467669016,0.09,0.01655031853102111,0.19715454868311555,1.2956094080471445,5.62242213302444,4.962188850452113,0.31
C,probit,entropy_vector,q0.99,300,0.9666666666666667,0.010381070730216603,0.013333333333333334,0.006633137535414969,0.13666666666666666,0.019864834973508133,0.2659192809199032,1.6992678398347618,7.4304180613810304,6.505481304742142,0.2966666666666667
