pol,test,critical_value,null_level,n_null,null_level_se
entropy_q0.95,lr_oracle,0.9718055542039099,0.05,200,0.015411035007422441
entropy_q0.95,ppc_chi2,0.26425000000000004,0.05,200,0.015411035007422441
entropy_q0.95,ppc_tail,0.43999999999999995,0.055,200,0.016120638945153507
entropy_q0.95,bf_oracle,0.6620029471790667,0.05,200,0.015411035007422441
entropy_q0.95,bf_guessable,0.5444032060371958,0.05,200,0.015411035007422441
entropy_vector,lr_oracle,0.2085620813166013,0.05,200,0.015411035007422441
entropy_vector,ppc_chi2,0.315,0.065,200,0.017432010784760317
entropy_vector,ppc_tail,0.2645000000000001,0.05,200,0.015411035007422441
entropy_vector,bf_oracle,0.36165799564501694,0.05,200,0.015411035007422441
entropy_vector,bf_guessable,0.5290168096747602,0.05,200,0.015411035007422441
fixed_design,lr_oracle,2.288703889238477,0.05,200,0.015411035007422441
fixed_design,ppc_chi2,0.13975,0.05,200,0.015411035007422441
fixed_design,ppc_tail,0.505,0.055,200,0.016120638945153507
fixed_design,bf_oracle,0.7966713052738384,0.05,200,0.015411035007422441
fixed_design,bf_guessable,0.8307009407119265,0.05,200,0.015411035007422441
uniform_grid,lr_oracle,2.108084581437276,0.05,200,0.015411035007422441
uniform_grid,ppc_chi2,0.30475,0.05,200,0.015411035007422441
uniform_grid,ppc_tail,0.48475,0.05,200,0.015411035007422441
uniform_grid,bf_oracle,0.8561723978753918,0.05,200,0.015411035007422441
uniform_grid,bf_guessable,0.915506684104802,0.05,200,0.015411035007422441
