corr,efficiency,frac_negative,bias,est_max,ref_max,x_est,x_ref,edge_frac_est,edge_frac_ref,edge_est,edge_ref,ref_at_mu0,policy,replicate,step,posterior_sd_mu,posterior_sd_sigma
0.9947442434716471,1.0,0.4875,-0.007793452743768612,0.011861405111188245,0.017053163436604915,16.0,16.0,0.0,0.0,True,True,6.8299447331110485e-06,entropy_sigma,0,0,6.003467884697283,3.6946354581728715
0.9877930857122587,1.0,0.45,-0.004138850043989971,0.01214207482600485,0.014681512939927768,44.0,44.0,0.0,0.0,True,True,2.152397231647285e-05,entropy_sigma,0,5,5.281623650514084,2.5484182730067455
0.9986778852210975,0.9970035368170657,0.5125,-0.0034419214051481604,0.008734988794627287,0.0093339339088465,16.0,16.354430379746834,0.0,0.012658227848101207,True,True,2.427203376509368e-06,entropy_sigma,0,10,5.071681768967592,2.0708226476196563
0.989032442498288,0.9999998786278262,0.3375,-0.0003078752701875737,0.005967315304522006,0.005279292641101371,16.354430379746834,43.64556962025317,0.012658227848101207,0.01265822784810108,True,True,1.1208488257530291e-06,entropy_sigma,0,20,4.887110203440611,1.6925204751427987
0.9765028102919446,1.0,0.375,-0.000231826894462018,0.00415918118019307,0.003631147568486825,43.291139240506325,43.291139240506325,0.025316455696202667,0.025316455696202667,True,True,7.59446940334918e-07,entropy_sigma,0,30,4.770675857634078,1.5207696919585842
0.9947442434716471,1.0,0.4875,-0.007793452743768612,0.011861405111188245,0.017053163436604915,16.0,16.0,0.0,0.0,True,True,6.8299447331110485e-06,entropy_vector,0,0,6.003467884697283,3.6946354581728715
0.9544230274826538,0.9823963585598376,0.0,-0.006380878820417657,0.07266523076401521,0.08785655262774422,26.632911392405063,27.341772151898734,0.37974683544303794,0.4050632911392405,False,False,0.028217930786942014,entropy_vector,0,5,2.0331504281011887,3.14847516093363
0.9600480153350947,0.9739593638524414,0.0,-0.005662888237750765,0.049277637780313716,0.06877243012412543,28.405063291139243,28.759493670886076,0.4430379746835444,0.4556962025316456,False,False,0.05879441494408044,entropy_vector,0,10,1.0239862790888123,1.914895173681744
0.9405031591558775,0.996726670102583,0.0625,-0.004964448056232109,0.04420220130773703,0.05847284657231944,34.78481012658228,34.43037974683544,0.3291139240506329,0.3417721518987342,False,False,0.0359687873507637,entropy_vector,0,20,0.7873415026812183,1.6076626142261243
0.9153081876193973,0.9805398124750514,0.1,-0.006225213220252022,0.02795227240565573,0.03743638702298627,25.569620253164558,26.278481012658226,0.3417721518987342,0.3670886075949366,False,False,0.011244666306491902,entropy_vector,0,30,0.9265460294200586,1.9924854311949043
