pseudo_mu,pseudo_sigma,expected_loglik,converged,n_support,pseudo_mu_se,pseudo_sigma_se,pseudo_q0.5,pseudo_q0.5_se,physical_q0.5,pseudo_minus_physical_q0.5,pseudo_q0.95,pseudo_q0.95_se,physical_q0.95,pseudo_minus_physical_q0.95,pseudo_q0.99,pseudo_q0.99_se,physical_q0.99,pseudo_minus_physical_q0.99,n_replicates,n_boot,cell,block,dgp,pol,prior_name,scale,design_mean,design_sd,design_q05,design_q50,design_q95,design_min,design_max,design_n
29.61793592067556,3.966499290196449,-0.34662357080317524,True,136,0.01995819925315883,0.017632505664632037,29.61793592067556,0.01995819925315883,29.355858727356058,0.2620771933195023,36.14224666445563,0.014006141196576354,36.2741309468711,-0.13188428241547,38.845393111808576,0.024603274344101332,38.92787333480589,-0.08248022299731161,22,100,II|beta_cdf|entropy_q0.95|shifted|s3,II,beta_cdf,entropy_q0.95,shifted,s3,32.017962539972594,5.0317438576272435,20.663316582914575,34.030150753768844,36.0,13.206030150753769,36.0,1100
27.95132838943704,2.685541240765381,-0.1222886265884567,True,5,3.570611593983174e-15,8.926528984957934e-16,27.95132838943704,3.570611593983174e-15,29.355858727356058,-1.4045303379190166,32.368650639637735,7.141223187966347e-15,36.2741309468711,-3.9054803072333613,34.198831545540585,7.141223187966347e-15,38.92787333480589,-4.7290417892653025,22,100,II|beta_cdf|fixed_design|shifted|s3,II,beta_cdf,fixed_design,shifted,s3,22.0,1.8667619023324857,19.36,22.0,24.64,19.36,24.64,1100
29.535574009789947,3.936787776401479,-0.42938195682357033,True,114,0.011157883744320727,0.013383453443404884,29.535574009789947,0.011157883744320727,29.355858727356058,0.17971528243388946,36.011013662342144,0.020291744570177676,36.2741309468711,-0.26311728452895267,38.693911883971495,0.028543672965099305,38.92787333480589,-0.2339614508343928,22,100,II|beta_cdf|entropy_vector|shifted|s3,II,beta_cdf,entropy_vector,shifted,s3,28.746094106898123,4.356895533658507,22.21105527638191,28.12060301507538,35.43718592964824,17.42713567839196,36.0,1100
29.5402427194722,3.7949228955263496,-0.23067578488323706,True,200,0.007990311428435613,0.010420786662192864,29.5402427194722,0.007990311428435613,29.355858727356058,0.18438399211614254,35.7823354081799,0.018263812447609253,36.2741309468711,-0.49179553869119985,38.368553529628834,0.02484914373045532,38.92787333480589,-0.5593198051770543,22,100,II|beta_cdf|uniform_grid|shifted|s3,II,beta_cdf,uniform_grid,shifted,s3,21.782932846048425,7.987410627668252,9.266331658291458,21.92964824120603,34.311557788944725,8.0,36.0,1100
30.000000013234015,2.9999999940782294,-0.304928897055418,True,115,1.0275192805351979e-08,6.0963724246485215e-09,30.000000013234015,1.0275192805351979e-08,30.0,1.3234014772933733e-08,34.93456088434799,9.49433841599697e-09,34.93456088085442,3.49356810147583e-09,36.97904362158044,1.1944408102686364e-08,36.979043622122525,-5.420872639660956e-10,22,100,II|probit_center|entropy_q0.95|shifted|s3,II,probit_center,entropy_q0.95,shifted,s3,32.34772042028323,3.9917055948588134,22.492462311557787,33.74874371859296,36.0,13.487437185929648,36.0,1100
29.999999989205755,3.000000002137808,-0.4173599783460455,True,97,7.247058293480093e-09,7.2051719364887095e-09,29.999999989205755,7.247058293480093e-09,30.0,-1.079424549743635e-08,34.93456087357655,1.5001403163817104e-08,34.93456088085442,-7.2778689741426206e-09,36.97904361630156,1.94634582482223e-08,36.979043622122525,-5.8209650433127536e-09,22,100,II|probit_center|entropy_vector|shifted|s3,II,probit_center,entropy_vector,shifted,s3,29.64659661946094,3.5326129875794257,24.603015075376884,29.175879396984925,35.15577889447236,21.78894472361809,36.0,1100
30.000000040132207,3.000000017096609,-0.05164063548216409,True,5,3.570611593983174e-15,1.3389793477436902e-15,30.000000040132207,3.570611593983174e-15,30.0,4.0132206891030364e-08,34.93456094910805,0.0,34.93456088085442,6.825362675044744e-08,36.97904370202739,7.141223187966347e-15,36.979043622122525,7.99048649469114e-08,22,100,II|probit_center|fixed_design|shifted|s3,II,probit_center,fixed_design,shifted,s3,22.0,1.8667619023324857,19.36,22.0,24.64,19.36,24.64,1100
38.000000096765646,3.0000001066642943,-0.2883893135246629,True,95,5.5560168051843555e-08,5.7909063755340753e-08,38.000000096765646,5.5560168051843555e-08,38.0,9.676564616256655e-08,42.934561153067214,1.4912996371902018e-07,42.93456088085442,2.722127945276043e-07,44.97904396702642,1.8839233644156006e-07,44.979043622122525,3.4490389566599333e-07,22,100,II|probit_shift38|entropy_q0.95|shifted|s3,II,probit_shift38,entropy_q0.95,shifted,s3,32.84645043398812,3.5209239010954856,26.143718592964824,33.46733668341709,36.0,15.879396984924623,36.0,1100
30.0,3.0000000000000004,-0.19414435479729902,True,199,7.410738289915074e-09,6.709160742022551e-09,30.0,7.410738289915074e-09,30.0,0.0,34.93456088085442,1.2813676673345514e-08,34.93456088085442,0.0,36.979043622122525,1.675787927457774e-08,36.979043622122525,0.0,22,100,II|probit_center|uniform_grid|shifted|s3,II,probit_center,uniform_grid,shifted,s3,22.09363179534034,7.986843795004359,9.125628140703517,22.21105527638191,34.311557788944725,8.0,36.0,1100
38.000000013951045,3.000000021770509,-0.398602393618111,True,54,1.2750985588890794e-08,1.4577644291042364e-08,38.000000013951045,1.2750985588890794e-08,38.0,1.3951044763871323e-08,42.934560930614765,3.665583546098806e-08,42.93456088085442,4.9760345177674026e-08,44.97904368671934,4.658213371116627e-08,44.979043622122525,6.459681856085808e-08,22,100,II|probit_shift38|entropy_vector|shifted|s3,II,probit_shift38,entropy_vector,shifted,s3,34.3310004568296,2.562739530572012,29.668341708542712,35.015075376884425,36.0,21.78894472361809,36.0,1100
