setting,target,paired_mse_diff_entropy_minus_ds,paired_se,unpaired_se,n_pairs,se_reduction
beta_ind_poor,mu,-0.12111914395469524,0.1260728357364656,0.16495226436848356,250,0.23570109074202206
beta_ind_poor,sigma,-0.13378208808987133,0.14698898740486258,0.15720657226294643,250,0.06499464183338177
beta_ind_poor,q0.95,-0.31668077341221407,0.5722989343931876,0.6815527234135135,250,0.16030130211076732
beta_ind_poor,q0.99,-0.5806996000931772,0.972521447198944,1.1186110492568186,250,0.1305991051625438
beta_ind_well,mu,0.12882315575782188,0.13430985265277068,0.1716984514511011,250,0.21775734424127013
beta_ind_well,sigma,0.07574987592806426,0.15358603616923852,0.16545744054835063,250,0.07174899079647612
beta_ind_well,q0.95,0.775873898168012,0.5636508242402869,0.6279801294947918,250,0.10243844069757047
beta_ind_well,q0.99,1.13440259491341,0.9958229788561641,1.0925207820190395,250,0.08850889132211504
probit_dep_poor,mu,0.23658500850640582,0.08979915319852667,0.10554945458816772,250,0.14922200641486483
probit_dep_poor,sigma,0.0655593312282639,0.09894574100057377,0.10438295472185959,250,0.05208909573190279
probit_dep_poor,q0.95,0.5221180896474792,0.312475495733527,0.33442371413797845,250,0.06562997023409622
probit_dep_poor,q0.99,0.7374850022974637,0.5549133953607568,0.599728190703339,250,0.0747251772340819
probit_dep_well,mu,-0.03658025628132647,0.07898601903932229,0.09236451073784202,250,0.14484450349649858
probit_dep_well,sigma,-0.04674954401876023,0.07995159779176043,0.09087527205599087,250,0.12020513410402833
probit_dep_well,q0.95,-0.07837230001290084,0.2974796429936178,0.3434152332091228,250,0.13376107339866472
probit_dep_well,q0.99,-0.16552341102813814,0.515070310754816,0.5947147020860505,250,0.13392033365220313
probit_ind_poor,mu,-0.03444500842919299,0.0967656132900596,0.11426257683074757,250,0.15312943245280997
probit_ind_poor,sigma,-0.06321119715320139,0.09431813761085284,0.09656151210534002,250,0.023232594908413007
probit_ind_poor,q0.95,0.26723473713990714,0.3344828220325813,0.354472233548513,250,0.05639203758168543
probit_ind_poor,q0.99,0.30071511614035196,0.5844219337282229,0.6069283716329325,250,0.0370825272909161
probit_ind_well,mu,0.07056584503051107,0.08626584666694241,0.10347170252091747,250,0.16628561659644858
probit_ind_well,sigma,0.05015969122467459,0.07981302949296416,0.08617894998840382,250,0.07386862448772291
probit_ind_well,q0.95,0.13470248708933383,0.27828489019385844,0.32786133486767444,250,0.15121162333406946
probit_ind_well,q0.99,0.24240928923391136,0.47789213409127446,0.5571718437793328,250,0.1422895118861336
