setting,policy,target,mse
beta_ind_poor,entropy_sigma,sigma,1.362
beta_ind_poor,entropy_q0.95,sigma,1.375
beta_ind_poor,dror_steinberg,q0.01,7.199
beta_ind_poor,entropy_vector,q0.01,6.032
beta_ind_poor,entropy_mu,q0.01,6.969
beta_ind_poor,entropy_sigma,q0.01,6.220
beta_ind_poor,entropy_q0.95,q0.01,13.268
beta_ind_poor,dror_steinberg,q0.05,3.770
beta_ind_poor,entropy_vector,q0.05,3.211
beta_ind_poor,entropy_mu,q0.05,4.071
beta_ind_poor,entropy_sigma,q0.05,3.760
beta_ind_poor,entropy_q0.95,q0.05,7.931
beta_ind_poor,dror_steinberg,q0.95,4.977
beta_ind_poor,entropy_vector,q0.95,6.078
beta_ind_poor,entropy_mu,q0.95,9.175
beta_ind_poor,entropy_sigma,q0.95,7.487
beta_ind_poor,entropy_q0.95,q0.95,3.460
beta_ind_poor,dror_steinberg,q0.99,8.220
beta_ind_poor,entropy_vector,q0.99,9.937
beta_ind_poor,entropy_mu,q0.99,15.395
beta_ind_poor,entropy_sigma,q0.99,11.904
beta_ind_poor,entropy_q0.95,q0.99,6.280
beta_ind_poor,bruceton,mu,1.046
beta_ind_poor,bruceton,sigma,2.267
beta_ind_poor,bruceton,q0.01,10.222
beta_ind_poor,bruceton,q0.05,5.688
beta_ind_poor,bruceton,q0.95,8.980
beta_ind_poor,bruceton,q0.99,15.787
